word,8,9,10,11,12,13,14,15,16,17,18
I,0.06,0.04,0.09,0.08,0.08,0.11,0.14,0.21,0.26,0.24,0.28
TV,0.1,0.16,0.19,0.21,0.27,0.35,0.43,0.6,0.75,0.62,0.62
airplane,0.07,0.1,0.11,0.19,0.22,0.29,0.34,0.43,0.64,0.65,0.7
all,0.03,0.05,0.04,0.09,0.07,0.08,0.1,0.19,0.26,0.21,0.28
all gone,0.28,0.37,0.51,0.64,0.62,0.74,0.75,0.81,0.91,0.89,0.9
animal,0.11,0.07,0.11,0.15,0.16,0.2,0.25,0.35,0.42,0.48,0.52
another,0.02,0.05,0.05,0.06,0.09,0.08,0.12,0.2,0.27,0.24,0.28
apple,0.1,0.14,0.18,0.25,0.25,0.32,0.43,0.55,0.71,0.73,0.82
arm,0.08,0.09,0.13,0.16,0.17,0.22,0.28,0.39,0.55,0.57,0.67
asleep,0.05,0.11,0.11,0.1,0.13,0.18,0.19,0.33,0.45,0.46,0.49
aunt,0.11,0.14,0.18,0.2,0.19,0.19,0.24,0.31,0.29,0.35,0.37
away,0.04,0.05,0.07,0.07,0.08,0.11,0.1,0.2,0.22,0.23,0.3
baa baa,0.33,0.32,0.44,0.42,0.44,0.48,0.54,0.55,0.68,0.72,0.74
baby,0.26,0.34,0.38,0.47,0.51,0.61,0.6,0.77,0.84,0.79,0.84
babysitter,0.03,0.07,0.06,0.06,0.09,0.08,0.09,0.14,0.12,0.09,0.11
babysitter's name,0.06,0.17,0.16,0.13,0.19,0.18,0.22,0.3,0.43,0.29,0.27
back,0.04,0.05,0.09,0.09,0.11,0.11,0.14,0.25,0.32,0.31,0.41
backyard,0.05,0.09,0.08,0.1,0.13,0.22,0.23,0.33,0.43,0.34,0.37
bad,0.09,0.09,0.15,0.17,0.16,0.27,0.25,0.39,0.41,0.35,0.36
ball,0.35,0.41,0.51,0.72,0.77,0.85,0.85,0.9,0.97,0.95,0.97
balloon,0.11,0.18,0.17,0.27,0.36,0.47,0.49,0.64,0.81,0.69,0.75
banana,0.15,0.26,0.35,0.52,0.51,0.6,0.64,0.77,0.89,0.87,0.89
bath,0.36,0.51,0.53,0.66,0.7,0.74,0.77,0.84,0.97,0.9,0.94
bathroom,0.07,0.12,0.14,0.22,0.25,0.31,0.42,0.6,0.72,0.65,0.73
bathtub,0.16,0.25,0.29,0.4,0.43,0.52,0.57,0.7,0.83,0.78,0.82
beach,0.03,0.06,0.04,0.07,0.07,0.07,0.1,0.18,0.15,0.18,0.22
beads,0.05,0.05,0.06,0.05,0.07,0.07,0.08,0.14,0.15,0.11,0.13
bear,0.08,0.11,0.16,0.24,0.24,0.29,0.36,0.49,0.64,0.62,0.73
bed,0.13,0.24,0.3,0.37,0.38,0.5,0.58,0.67,0.78,0.77,0.82
bedroom,0.05,0.11,0.11,0.16,0.19,0.21,0.35,0.51,0.59,0.57,0.64
bee,0.08,0.07,0.07,0.12,0.14,0.16,0.15,0.3,0.37,0.48,0.56
belly button,0.07,0.11,0.15,0.21,0.25,0.33,0.45,0.53,0.75,0.77,0.78
bib,0.11,0.18,0.17,0.27,0.26,0.28,0.35,0.47,0.62,0.56,0.61
bicycle,0.05,0.08,0.07,0.11,0.15,0.2,0.25,0.34,0.43,0.52,0.61
big,0.05,0.08,0.11,0.13,0.11,0.16,0.21,0.31,0.39,0.36,0.42
bird,0.13,0.14,0.21,0.32,0.34,0.45,0.49,0.65,0.82,0.75,0.83
bite,0.09,0.19,0.3,0.32,0.31,0.41,0.46,0.59,0.72,0.68,0.68
blanket,0.13,0.24,0.25,0.29,0.32,0.43,0.52,0.59,0.74,0.71,0.76
block,0.13,0.14,0.18,0.28,0.32,0.41,0.38,0.57,0.66,0.7,0.76
blow,0.03,0.08,0.07,0.13,0.19,0.24,0.37,0.44,0.66,0.62,0.69
blue,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.14,0.15,0.21,0.32
book,0.3,0.4,0.45,0.68,0.7,0.77,0.77,0.87,0.95,0.91,0.96
boots,0.04,0.06,0.05,0.08,0.1,0.11,0.14,0.23,0.27,0.51,0.62
bottle,0.37,0.47,0.58,0.57,0.57,0.67,0.65,0.74,0.77,0.73,0.77
bowl,0.05,0.07,0.1,0.15,0.17,0.25,0.28,0.4,0.58,0.59,0.68
box,0.06,0.08,0.06,0.13,0.14,0.19,0.22,0.38,0.49,0.51,0.57
boy,0.04,0.08,0.04,0.07,0.08,0.12,0.16,0.27,0.33,0.21,0.29
bread,0.07,0.1,0.12,0.24,0.25,0.27,0.39,0.5,0.61,0.61,0.68
break,0.03,0.04,0.03,0.05,0.05,0.06,0.1,0.18,0.21,0.22,0.25
breakfast,0.11,0.23,0.25,0.31,0.35,0.42,0.46,0.56,0.72,0.72,0.74
bring,0.04,0.06,0.1,0.22,0.26,0.35,0.44,0.58,0.76,0.66,0.75
broken,0.03,0.03,0.04,0.05,0.06,0.08,0.13,0.19,0.23,0.26,0.34
broom,0.04,0.05,0.08,0.07,0.11,0.17,0.22,0.36,0.48,0.49,0.52
brother,0.19,0.26,0.22,0.24,0.26,0.28,0.31,0.33,0.22,0.3,0.26
brush,0.08,0.09,0.14,0.2,0.25,0.35,0.48,0.56,0.78,0.69,0.72
bubbles,0.12,0.11,0.13,0.25,0.28,0.36,0.43,0.52,0.69,0.72,0.77
bug,0.08,0.07,0.08,0.09,0.11,0.18,0.23,0.32,0.38,0.41,0.49
bump,0.03,0.09,0.07,0.07,0.08,0.11,0.15,0.27,0.32,0.29,0.39
bunny,0.1,0.12,0.15,0.24,0.29,0.32,0.34,0.51,0.66,0.64,0.69
bus,0.07,0.06,0.07,0.15,0.17,0.19,0.21,0.37,0.4,0.56,0.62
butter,0.04,0.05,0.04,0.05,0.06,0.07,0.09,0.19,0.16,0.18,0.25
butterfly,0.08,0.06,0.07,0.08,0.12,0.14,0.18,0.31,0.36,0.44,0.52
button,0.06,0.07,0.07,0.12,0.15,0.17,0.2,0.28,0.53,0.41,0.46
bye,0.37,0.61,0.7,0.79,0.83,0.86,0.85,0.87,0.98,0.96,0.96
cake,0.06,0.07,0.08,0.08,0.11,0.15,0.18,0.23,0.26,0.32,0.34
candy,0.07,0.07,0.08,0.06,0.07,0.13,0.18,0.26,0.28,0.28,0.28
car,0.25,0.26,0.34,0.46,0.52,0.64,0.72,0.78,0.91,0.86,0.91
careful,0.07,0.12,0.17,0.26,0.31,0.32,0.4,0.47,0.67,0.58,0.67
carrots,0.06,0.1,0.11,0.18,0.17,0.21,0.25,0.39,0.45,0.45,0.52
cat,0.22,0.31,0.35,0.39,0.49,0.53,0.63,0.67,0.84,0.8,0.86
cereal,0.08,0.16,0.18,0.17,0.23,0.29,0.37,0.47,0.63,0.51,0.53
chair,0.06,0.1,0.1,0.17,0.21,0.32,0.41,0.58,0.77,0.72,0.78
cheek,0.05,0.08,0.08,0.1,0.1,0.13,0.15,0.3,0.31,0.42,0.46
cheerios,0.11,0.2,0.26,0.38,0.4,0.45,0.53,0.58,0.7,0.63,0.62
cheese,0.06,0.11,0.14,0.28,0.34,0.42,0.46,0.67,0.72,0.73,0.8
chicken (animal),0.07,0.07,0.1,0.12,0.16,0.21,0.22,0.4,0.47,0.51,0.58
chicken (food),0.09,0.09,0.09,0.17,0.18,0.23,0.27,0.39,0.39,0.44,0.5
child,0.04,0.06,0.06,0.07,0.07,0.08,0.09,0.13,0.12,0.14,0.19
child's own name,0.67,0.74,0.7,0.79,0.81,0.84,0.81,0.84,0.93,0.91,0.94
choo choo,0.15,0.12,0.17,0.19,0.24,0.31,0.27,0.47,0.57,0.59,0.63
church*,0.05,0.06,0.07,0.07,0.08,0.11,0.11,0.18,0.16,0.15,0.13
clean (action),0.05,0.08,0.07,0.12,0.15,0.17,0.26,0.38,0.52,0.56,0.72
clean (description),0.04,0.07,0.06,0.09,0.1,0.11,0.17,0.23,0.4,0.36,0.48
clock,0.05,0.05,0.06,0.08,0.1,0.13,0.13,0.24,0.35,0.28,0.34
close,0.03,0.04,0.07,0.16,0.21,0.3,0.38,0.5,0.71,0.58,0.66
coat,0.05,0.06,0.08,0.11,0.14,0.18,0.27,0.37,0.45,0.57,0.69
cockadoodledoo,0.11,0.07,0.11,0.1,0.14,0.18,0.19,0.31,0.44,0.44,0.49
coffee,0.04,0.05,0.05,0.07,0.09,0.09,0.13,0.21,0.22,0.3,0.36
cold,0.08,0.07,0.08,0.12,0.12,0.16,0.27,0.4,0.52,0.49,0.57
comb,0.05,0.05,0.11,0.11,0.14,0.21,0.25,0.31,0.52,0.42,0.43
cookie,0.11,0.17,0.27,0.24,0.26,0.39,0.46,0.62,0.8,0.63,0.66
couch,0.06,0.09,0.11,0.15,0.18,0.24,0.34,0.42,0.54,0.6,0.69
cow,0.08,0.1,0.13,0.23,0.25,0.32,0.35,0.51,0.69,0.71,0.76
cracker,0.14,0.2,0.24,0.27,0.32,0.41,0.49,0.63,0.81,0.69,0.73
crib,0.12,0.2,0.22,0.3,0.29,0.33,0.4,0.52,0.58,0.59,0.59
cry,0.09,0.15,0.17,0.18,0.2,0.27,0.36,0.44,0.54,0.52,0.58
cup,0.12,0.18,0.32,0.42,0.43,0.53,0.63,0.72,0.86,0.81,0.83
cute,0.05,0.09,0.11,0.09,0.11,0.12,0.1,0.23,0.26,0.22,0.27
daddy*,0.72,0.86,0.87,0.88,0.9,0.93,0.88,0.91,0.98,0.95,0.95
dance,0.07,0.14,0.17,0.36,0.4,0.47,0.54,0.64,0.83,0.77,0.81
dark,0.03,0.05,0.04,0.05,0.06,0.07,0.11,0.16,0.17,0.18,0.25
day,0.05,0.04,0.06,0.07,0.07,0.07,0.1,0.13,0.14,0.13,0.18
deer,0.05,0.06,0.06,0.07,0.08,0.08,0.11,0.22,0.17,0.25,0.31
diaper,0.29,0.4,0.5,0.59,0.6,0.69,0.72,0.81,0.94,0.88,0.93
