word,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
I,0.03,0.01,0.04,0.02,0.03,0.04,0.03,0.07,0.06,0.08499999999999999,0.10500000000000001,0.23,0.22,0.29,0.32,0.4,0.44,0.6,0.6,0.62,0.79,0.72,0.78
TV,0.02,0.02,0.01,0.02,0.02,0.04,0.03,0.1,0.095,0.12,0.16499999999999998,0.33,0.38,0.44,0.47,0.58,0.64,0.75,0.76,0.74,0.93,0.86,0.88
a,,,,,,,,,0.04,0.05,0.07,0.12,0.13,0.16,0.23,0.25,0.3,0.37,0.4,0.48,0.61,0.54,0.62
a lot,,,,,,,,,0.0,0.02,0.03,0.05,0.05,0.05,0.11,0.17,0.18,0.25,0.29,0.35,0.48,0.49,0.53
about,,,,,,,,,0.0,0.02,0.01,0.01,0.03,0.02,0.03,0.03,0.06,0.07,0.1,0.12,0.22,0.23,0.28
above,,,,,,,,,0.01,0.02,0.02,0.02,0.03,0.03,0.05,0.04,0.08,0.11,0.13,0.19,0.24,0.23,0.27
after,,,,,,,,,0.0,0.02,0.02,0.02,0.04,0.06,0.09,0.13,0.17,0.21,0.26,0.31,0.45,0.44,0.48
airplane,0.01,0.01,0.02,0.03,0.04,0.05,0.04,0.11,0.16999999999999998,0.2,0.3,0.42,0.47,0.52,0.6,0.67,0.73,0.81,0.82,0.85,0.94,0.88,0.87
all,0.0,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.045,0.08,0.12,0.12,0.15,0.19,0.3,0.33,0.39,0.43,0.49,0.67,0.59,0.65
all gone,0.01,0.03,0.03,0.07,0.07,0.11,0.1,0.2,0.29500000000000004,0.35,0.44,0.55,0.58,0.66,0.66,0.73,0.78,0.81,0.79,0.81,0.92,0.82,0.81
alligator,,,,,,,,,0.02,0.04,0.06,0.13,0.14,0.19,0.22,0.3,0.4,0.47,0.5,0.52,0.74,0.66,0.7
am,,,,,,,,,0.01,0.02,0.02,0.04,0.06,0.06,0.1,0.13,0.18,0.23,0.27,0.34,0.48,0.48,0.53
an,,,,,,,,,0.01,0.02,0.01,0.02,0.02,0.02,0.04,0.03,0.05,0.09,0.1,0.12,0.17,0.18,0.22
